Date,User,Text,
2020-08-21 22:47:50,DTO,Tyranny at its finest.  It’s only a conspiracy if it doesn’t come true.,
2020-08-21 22:47:50,Dan Mitchinson,RT @dmitchinson: .@KCBSRadio coming up:-#BayAreaFires coverage continues-How bad is this smoke for your pet?-Will flu shots and #COVID19…,
2020-08-21 22:47:51,denny keller,RT @greta: If it is true that polio and TB vaccines are short term/bridge vaccines that protect from coronavirus,the cost is only 15 cents…,
2020-08-21 22:47:52,Sarah Johnson,No way. @realDonaldTrump,
2020-08-21 22:47:55,Makaveli🕺,ShattaStone 🔥🔥🔥🔥,
2020-08-21 22:47:55,Dr. John Bieber, MD,RT @WhiteHouse: President @realDonaldTrump just announced that we've reached an agreement with Moderna to manufacture and deliver 100 milli…,
2020-08-21 22:47:56,neilhoh. #37 #5. blocked by @peterdutton_mp,RT @ReutersGraphics: Epidemiologists suggest that, on average, a person infected with COVID-19 passes it on to between two and three others…,
2020-08-21 22:47:56,Janet Cutts,@Telegraph Depends on whom is collecting the data &amp; if they have a financial interest in a vaccine,
2020-08-21 22:47:57,AlbaDeiMar,RT @Reuters: Russia vaccine roll-out plan prompts virus mutation worries https://t.co/WmSv8jUtQO https://t.co/oApau2q0H2,
2020-08-21 22:47:57,ultramarine,RT @TheBabylonBee: Good News: Vaccine Shows Promise In Clinical Trials. Bad News: It Also Resurrected Hitler As A Zombie https://t.co/TmqjS…,
2020-08-21 22:47:57,ann scullion,Go back to sleep dear and wait for the vaccine,
2020-08-21 22:47:57,Joseph Aubry,@ClayTravis It is not ideal, but better than nothing. This idea does make me wonder about the prognosis of the viru… https://t.co/E9MkYL6YP2,
2020-08-21 22:47:59,Ebenezer talented ever!,RT @stonebwoyb: Now You Have The Full Details.. After This Clash Covid Will Be Nowhere To Be found..If I am the Vaccine Who is Covid?? 🤫…,
2020-08-21 22:47:59,🌹🏴󠁧󠁢󠁥󠁮󠁧󠁿🌹Kirstylee🌹🏴󠁧󠁢󠁥󠁮󠁧󠁿🌹,RT @garethicke: Coming to the UK this winter. Bosses demand right to sack workers if they refuse coronavirus vaccine https://t.co/hlNotTZ…,
2020-08-21 22:47:59,David Miller,@realDonaldTrump and CRICKETS OPEN UP EO no money for states that do not open NO MASKS https://t.co/tmcHOBkzJQ,
2020-08-21 22:48:01,Perry World House,On September 1, we're sitting down with @DrPaulOffit  - co-inventor of a rotavirus vaccine that saves hundreds of l… https://t.co/oCw8ASN3D7,
2020-08-21 22:48:01,Will Rule,RT @kayleighmcenany: Sleepy Joe does NOT want you to know:❌ Joe orchestrated the WORST economic recovery since WWII❌ Joe oversaw H1N1 p…,
2020-08-21 22:48:02,William SukJin Cho,https://t.co/uDwRJuFgEB,
2020-08-21 22:48:02,School Nurse,Be sure to stay up to date on vaccinations. Many have missed vaccinations while things were closed. Now is the time… https://t.co/y332tYv99i,
2020-08-21 22:48:04,Heather S🇺🇸🔯🙏😇🇮🇱,RT @RupaliChadhaMD: Bill Gates funded this MIT research. The enzyme that makes this bioluminescent ink is called Luciferase. Who would get…,
2020-08-21 22:48:09,Lying Dog Faced Pony Soldier ن,RT @YALiberty: “15 days to slow the spread.”“Actually, shut down your economy.”“Just stay inside until we have a vaccine.”“Actually,…,
2020-08-21 22:48:09,Jackie boy,Ridiculous,
2020-08-21 22:48:10,Baronian Consulting,States Should Require a Coronavirus Vaccine For Kids to Attend School, Some Experts Say https://t.co/CAH8TQeUXc,
2020-08-21 22:48:10,DLNesara🇺🇸🇺🇸🇺🇸,RT @iheartmindy: The shut down was selective. They destroyed small businesses so that corporations could monopolize the economy. The cherry…,
2020-08-21 22:48:11,Trevor Gibbs,@anmf_federal @billshortenmp @BernardKeane @ScottMorrisonMP @GregHuntMP @gedkearney @SenKatyG Is it true that the V… https://t.co/pOvVX3Xzzt,
2020-08-21 22:48:13,1776 NORTH,@prefer2prosper @vintage831 @DerekSloanCPC /2 its essentially a playbook of everything that governments are doing n… https://t.co/Ge3J8auvFs,
2020-08-21 22:48:13,MJinfo,@krakle47 @PFM912 @JackPosobiec And that is exactly how he will push a mandatory vaccine via the states so he has p… https://t.co/8Byk1zqYyP,
2020-08-21 22:48:14,Chuanda,RT @AngkasaPura_2: #AP2friends, Sinovac akan memenuhi kebutuhan Vaksin untuk Indonesia, hal ini ditandai dengan preliminary agreement of pu…,
2020-08-21 22:48:15,Dweezil,RT @BusyDrT: Fauci's own words "You cannot force someone to take a vaccine"  Please don't trust anything he says... https://t.co/FbiErWQwol,
2020-08-21 22:48:16,AntDeb wears a mask 😷,RT @ASlavitt: Perhaps the biggest harm is to our ability to trust the FDA can be kept free from political interference as a vaccine comes o…,
2020-08-21 22:48:17,Cool Breeze,RT @KPNorthwest: A Portland Kaiser Permanente location will be among those to test Pfizer’s phase three trial for their experimental vaccin…,
2020-08-21 22:48:18,María Elena,RT @DiazCanelB: Soberana, Cuba's first vaccine candidate against COVID-19 gets authorization for clinical trials. Another achievement of Cu…,
2020-08-21 22:48:18,Dean Turner,RT @YALiberty: “15 days to slow the spread.”“Actually, shut down your economy.”“Just stay inside until we have a vaccine.”“Actually,…,
2020-08-21 22:48:19,Vik Bataille,Coronavirus Australia: Workers refusing a vaccine may get sack - Daily Mail https://t.co/u8BV7GMjwM,
2020-08-21 22:48:20,Natasha Jakac-Sinclair,RT @AliNouriPhD: In the US, two monoclonal antibody candidates are entering phase III trials. Most of the conversation has been on vaccines…,
2020-08-21 22:48:21,🇺🇸LHOOZER🇺🇸,RT @BuckSexton: The New York City government response to a disease for which the biggest risk factors are advanced age and high body mass i…,
2020-08-21 22:48:21,Nathan Barley,@McGiff @piersmorgan Err, only around 6% of the population have had the virus, so unless you've got a vaccine ready… https://t.co/TnbNeIsslN,
2020-08-21 22:48:22,Dr. Aletha Maybank,RT @DrTomFrieden: On @CNNNewsroom with @andersoncooper, I discussed the perils and promise of immunity and why a vaccine doesn't mean the p…,
2020-08-21 22:48:22,Mark Wolfe 🇦🇺🇺🇸🌊🌊🌊🐺😎,@angie_eeee And it’s pretty clear that you are clueless as to what the flu vaccine actually contains. That’s why it… https://t.co/lgrGuBA3Ug,
2020-08-21 22:48:22,heather #FBPE,RT @jewel_thin: @jenjensmith84 @tonyrawdin9 I think the message is - we have lots of interventions that can be made in concert at different…,
2020-08-21 22:48:25,lol,@printsandbooks @Richard60603833 @dona17_mc @TomiLahren Oh maybe. Fauci even this week said vaccine doesn’t mean it… https://t.co/mdN8Gf56ld,
2020-08-21 22:48:27,Debbie Salome,RT @haaretzcom: Russia vaccine roll-out plan prompts virus mutation worries https://t.co/R1Y4yy59JT,
2020-08-21 22:48:27,Mike Trost - Abolish Policing,I haven't worn a belt since March; no vaccine made by human hands could  fix that.,
2020-08-21 22:48:28,Katleen,RT @THE_Russell: Morrison will not provide any detail about his "agreement" with AstraZeneca for 27 million doses of vaccine because he has…,
2020-08-21 22:48:30,Truth Warrior,RT @BarristersHorse: If Boris tries the same stunt here, it won't end well for the Tories. I've nothing against vaccines, but they need c…,
2020-08-21 22:48:30,Johnny,@BackCherokees @realDonaldTrump @POTUS 2) tissue saved from surgery, however conventional protocol is to parafinize… https://t.co/CyOHqhO0fI,
2020-08-21 22:48:30,Baronian Consulting,The Data Just Keeps Getting Better for Pfizer and BioNTech’s COVID-19 Vaccine https://t.co/MANdfNRzB0,
2020-08-21 22:48:30,RereCDN,RT @HaveWeAllGoneM1: Anti-vaxxers, anti-maskers file $11M lawsuit against TrudeauGroup accuses the WHO, mainstream media &amp; federal govern…,
2020-08-21 22:48:32,Lindsay Parry,RT @CartwheelPrint: PM slips up https://t.co/MtbKU9c8bV He signed a letter of intent in May, (the US and UK have signed agreements with 6 d…,
2020-08-21 22:48:32,Mary E. Swerens,RT @BuckSexton: The New York City government response to a disease for which the biggest risk factors are advanced age and high body mass i…,
