,ticker,companyshortname,startdatetime,epsestimate,epsactual,epssurprisepct,volume,marketCap,lastClose
0,TCOM,Trip.com Group Ltd,2020-09-07T20:00:00.000Z,-0.45,,,6636458,19166937088,29.03
1,LULU,Lululemon Athletica Inc,2020-09-08T20:00:00.000Z,0.51,,,1257397,49150541824,374.84
2,WORK,Slack Technologies Inc,2020-09-08T20:00:00.000Z,-0.03,,,12373471,17987602432,30.85
3,AEO,American Eagle Outfitters Inc,2020-09-09T12:30:00.000Z,-0.17,,,7568477,2042270080,12
4,BIGC,"Bigcommerce Holdings, Inc.",2020-09-09T10:59:00.000Z,,,,5790590,8758763520,141
5,ORCL,Oracle Corp,2020-09-09T10:59:00.000Z,0.86,,,8613830,1.77615E+11,57.18
6,ZS,Zscaler Inc,2020-09-09T20:00:00.000Z,0.03,,,2135403,18420006912,138.76
7,PLAY,Dave & Buster's Entertainment Inc,2020-09-10T20:00:00.000Z,-1.42,,,14769970,832320384,15.07
8,CHWY,Chewy Inc,2020-09-10T20:00:00.000Z,-0.16,,,4126405,23985358848,56.88
9,PTON,Peloton Interactive Inc,2020-09-10T20:00:00.000Z,0.09,,,15422194,21514301440,70.3
