,ticker,companyshortname,startdatetime,epsestimate,epsactual,epssurprisepct,volume,marketCap,lastClose
0,TCOM,Trip.com Group Ltd,2020-09-07T20:00:00.000Z,-0.45,,,5775094,17934436352,30.63
1,LULU,Lululemon Athletica Inc,2020-09-08T20:00:00.000Z,0.51,,,1672043,48914866176,377.48
2,COUP,Coupa Software Inc,2020-09-08T20:00:00.000Z,0.08,,,1021128,21982799872,325.97
3,WORK,Slack Technologies Inc,2020-09-08T20:00:00.000Z,-0.03,,,14637165,18511841280,31.91
4,AEO,American Eagle Outfitters Inc,2020-09-09T12:30:00.000Z,-0.17,,,8289142,2086954880,12.34
5,BIGC,"Bigcommerce Holdings, Inc.",2020-09-09T10:59:00.000Z,,,,9336164,7877404160,130.98
6,ORCL,Oracle Corp,2020-09-09T10:59:00.000Z,0.86,,,17763804,175589867520,57.88
7,HDS,HD Supply Holdings Inc,2020-09-09T06:00:00.000Z,0.73,,,1256035,6424681984,40.4
8,ZS,Zscaler Inc,2020-09-09T20:00:00.000Z,0.03,,,5861062,18708449280,141.13
9,PLAY,Dave & Buster's Entertainment Inc,2020-09-10T20:00:00.000Z,-1.42,,,7078251,789138368,17.54
10,CHWY,Chewy Inc,2020-09-10T20:00:00.000Z,-0.16,,,3502712,24523452416,59.73
11,PTON,Peloton Interactive Inc,2020-09-10T20:00:00.000Z,0.09,,,15742527,21715396608,75.96
