Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market
20200918,A,135972,1559,244057,Q/N
20200918,AA,678618,2676,1644579,B/Q/N
20200918,AAA,1603,0,2184,Q/N
20200918,AAAU,34267,0,94420,B/Q/N
20200918,AACG,3982,600,7739,Q/N
20200918,AACQ,148390,0,218912,Q/N
20200918,AACQU,1264,0,3522,Q
20200918,AACQW,45167,0,84636,Q/N
20200918,AADR,303,0,343,Q
20200918,AAL,9239163,195184,22189975,B/Q/N
20200918,AAMC,107,0,343,Q/N
20200918,AAME,6,0,2033,Q
20200918,AAN,68148,203,87556,Q/N
20200918,AAOI,60306,241,91818,B/Q/N
20200918,AAON,11054,0,30113,Q/N
20200918,AAP,69369,7,114520,B/Q/N
20200918,AAPL,43091729,185965,102095978,B/Q/N
20200918,AAT,14039,0,50131,Q/N
20200918,AAU,516694,4550,911618,B/Q/N
20200918,AAWW,68327,0,126766,B/Q/N
20200918,AAXJ,117338,10700,186276,Q/N
20200918,AAXN,64512,7,103815,B/Q/N
20200918,AB,78693,0,518339,Q/N
20200918,ABB,176669,524,235514,B/Q/N
20200918,ABBV,679648,2256,1403171,B/Q/N
20200918,ABC,135858,143,190708,B/Q/N
20200918,ABCB,34136,16,73034,Q/N
20200918,ABEO,818075,2185,1466220,B/Q/N
20200918,ABEQ,3106,0,3206,Q
20200918,ABEV,5323378,31900,8122286,B/Q/N
20200918,ABG,15685,0,32579,Q/N
20200918,ABIO,85095,100,360601,Q/N
20200918,ABM,30891,0,75610,Q/N
20200918,ABMD,60275,0,107102,B/Q/N
20200918,ABR,203898,5019,380389,B/Q/N
20200918,ABRpA,1000,0,1150,Q
20200918,ABRpB,1307,0,2943,Q/N
20200918,ABRpC,584,0,589,Q
20200918,ABT,460827,1226,1031802,B/Q/N
20200918,ABTX,5165,0,8635,Q/N
20200918,ABUS,391088,1983,1619041,B/Q/N
20200918,AC,1438,0,1667,Q/N
20200918,ACA,40837,346,108740,B/Q/N
20200918,ACAD,242234,0,566398,B/Q/N
20200918,ACAM,2,0,103,N
20200918,ACAMW,3420,0,3420,Q
20200918,ACB,2098817,7361,3683946,B/Q/N
20200918,ACBI,4991,0,7174,Q/N
20200918,ACC,66679,732,124047,Q/N
20200918,ACCD,71604,0,139434,B/Q/N
20200918,ACCO,37164,129,137013,B/Q/N
20200918,ACEL,18590,0,41940,Q/N
20200918,ACER,79117,0,104082,B/Q/N
20200918,ACES,9285,0,20491,B/Q/N
20200918,ACET,10791,0,34294,B/Q/N
20200918,ACEVW,51013,0,68796,Q/N
20200918,ACGL,120170,0,321002,B/Q/N
20200918,ACGLO,2375,0,3871,Q/N
20200918,ACGLP,8604,0,13268,Q/N
20200918,ACH,7748,580,17385,Q/N
20200918,ACHC,149744,0,229015,Q/N
20200918,ACHV,475660,212,940657,B/Q/N
20200918,ACI,582545,50,1116687,B/Q/N
20200918,ACIA,20634,215,47166,Q/N
20200918,ACIO,1499,0,3636,Q/N
20200918,ACIU,18908,0,47343,Q/N
20200918,ACIW,41270,2,190047,B/Q/N
20200918,ACLS,22402,0,47843,Q/N
20200918,ACM,142281,303,430201,B/Q/N
20200918,ACMR,26757,0,67264,B/Q/N
