,Date,User,Text
0,2020-08-21 22:43:28,Joanna Milosz,@thehill Sounds like an advertising campaign for a vaccine. While according to latest study the virus is mutating i… https://t.co/8sdiS7xS3Z
1,2020-08-21 22:43:13,Johnny,"@SarahDeRosnay @ElonBachman @Barnes_Law atleast if not more will pull through, especially with the combination of D… https://t.co/6tMTpMZRbl"
2,2020-08-21 22:43:06,Angie Pemberton,@Marly_Ray_2020 @KevinTavris @PC_Tech_101 @mrscontheory @KevinG05202433 @danmicovic @realDonaldTrump Search… https://t.co/I4uu4yJASN
3,2020-08-21 22:42:20,Jonallen Priest,"Then to put out a statement like this is just ridiculous. 

News flash: COVID-19 won’t just “disappear”. It’s just… https://t.co/uEBfdNwdBs"
4,2020-08-21 22:42:19,forcedar777,👹ALERT👹 MARK OF THE BEAST?!? Australia “leaders and influencers” are REQUIRING citizens to get the “new” CHINA VACC… https://t.co/JiCYtyv19V
5,2020-08-21 22:41:15,Angel,"@9NewsAUS Controversial? it's been used for over 60 years. what a coincidence that the same "" medical experts"" cond… https://t.co/rWWmzOGiko"
6,2020-08-21 22:39:49,Carla Riseman,Eli Lilly is testing a way to prevent covid-19 that’s not a vaccine https://t.co/uOnwrKSvZu #COVID19 https://t.co/xdoR2cRTyi
7,2020-08-21 22:39:39,Abhishek Saxena,"People waiting for #Mirzapur2 he like... 
Yeah to corona ki vaccine se bhi zyada time lga rha😑💔 https://t.co/vpTTFxm1GD"
8,2020-08-21 22:39:33,Khang,@belweazy I have mainly tech and solar stocks now - I had pharma stocks making a rona vaccine like bntx and mrna fo… https://t.co/6d9SP4lVJd
9,2020-08-21 22:39:08,davidfulton3@gmail.com,"@last_call12 JEWS RAN, &amp; MONOPOLIZED, THE SLAVE TRADE ...
IRISH WERE THE FIRST SLAVES, that WERE IMPORTED INTO AMER… https://t.co/hcNqqNJHY8"
