,Date,User,Text,Sentiment
0,2020-10-12 00:09:24,mike,"Watchlist:
$FB
$AAPL
$CHWY
$AMD
$ZM
$OSTK

Feeling lazy I'll post charts for them, no descriptions, Pink bubbles are price targets",Positive
1,2020-10-11 23:57:39,STARLINK 💫💫,"More discount leap options coming soon...once tweeted so far...

Alert Price &gt; Now 

$UPS 210 C June 21 $1.94 &gt;  $7… https://t.co/Vs7CLgYFj1",Negative
2,2020-10-11 23:47:45,Fernando,"@EllleDe 1. $intc
2. $pins
3. $slv
4. $apha
5. $tlt
6. $spce
7. $ms
8. $chwy
9. $arkk
10. $amd",Positive
3,2020-10-11 23:36:17,Flip Flop Tick,"All these stock like $ZM (500) , $AMD (85), $TTD (600), look bullish to me 

I see Zoom at 600, AMD 125, TTD at 800… https://t.co/Gc4FpSWuKw",Positive
4,2020-10-11 23:34:32,tony,@TicTocTick $amd buying xlnx would be good for the stock? Entry into 5g I suspect,Positive
5,2020-10-11 23:33:20,tic toc,"All these stock like $ZM (500) , $AMD (85), $TTD (600), look bullish to me 

I see Zoom at 600, AMD 125, TTD at 800… https://t.co/mhmAqVCUN8",Positive
6,2020-10-11 23:29:08,Fabio Oliveira,@PeterTrader99 It's unbelievable to think in $AMD at 1.61 great products. I guess this time will be different. I wa… https://t.co/t5Fw1uHNtC,Positive
7,2020-10-11 23:07:06,Edwin Hung,@JonErlichman $AMD should make it to the list,Positive
8,2020-10-11 22:06:44,Pete Garner,"Happy Sunday! For the week of Oct 11, I have a whole mess of pending orders and others I'm watching. I hope this ol… https://t.co/yIDISAcLRJ",Negative
9,2020-10-11 21:44:14,David Randall,"@MiltDavis $AAPL 10/23 125c for the iPhone release
$WKHS 10/30 30c looking to add to position on Monday.
$SPY 10/12… https://t.co/5lT69MxhRY",Positive
10,2020-10-11 21:18:24,783Trader,@data168 Thoughts on $AMD this week?,Positive
11,2020-10-11 21:15:09,Navin,@psk2329 Thoughts on $AMD,Positive
12,2020-10-11 19:22:12,J. Khabbaz,"@rebelmarkets Huh definitely $AMD , I’m also heavy on that one. I think it can reach $NVDA levels in a couple of ye… https://t.co/B9TDoP8kVt",Positive
13,2020-10-11 18:52:18,Matt Tay.,"@MiltDavis $AAPL - playing massive position
$TSLA - big
$AMD - dece
$CCL holding for lotto

Will likely look into a… https://t.co/ite8qQoflu",Negative
14,2020-10-11 18:34:24,Gannon Breslin,"Positions I currently hold that I want to have a much bigger weight in my portfolio over the coming year:

1) $VGT… https://t.co/q4QQn93H95",Positive
15,2020-10-11 18:21:20,CarlosBattousai,@themotleyfool I've learn this lesson with $AMD glad I got back in before it sky rocketed,Positive
16,2020-10-11 18:02:12,PsychoTrader,"The US reported 57,420 new positive cases in the US on Friday, the third day in a row with over 50,000 new cases, f… https://t.co/ptWCOab1CV",Positive
17,2020-10-11 18:00:03,PlaySharp Tradez,"The Best. Free.

FREE CHATROOM LINK IN THE BIO!

$NBY $IGC $BNGO $NBY $MARK $AYRO $MARK $BKYI $APT $CLSN $NIO $NOVN… https://t.co/FCwOm9KYJ1",Positive
18,2020-10-11 17:46:15,🎃📉Edi @ Stoktober📈🎃,Work is very demanding these days so I didn't even realize that another earnings season is right around the corner.… https://t.co/hxSJjiKiY3,Negative
19,2020-10-11 17:43:37,sleekOptions,$AMD [Oct-09 76.50 Calls] Option volume Up +372.73% |  Volume: 52 vs 11|,Positive
20,2020-10-11 17:40:10,Santina Effertz,$PPSI $NAKD $WWR $JAGX $CBAT $AAPL $IPOC $NIO $GE $XLF $OGEN $OPTT $AAL $AMD $CRBP $CCL $XSPA $CEI $SQQQ $FCEL $BAC… https://t.co/k6G4q75TgF,Positive
21,2020-10-11 17:38:44,Santina Effertz,"$BLNK $VXRT $MSFT $MU $AMD $IDEX $AAL $QQQ $Y
$TQQQ $IGC $IWM $BAC $WFC $UVXY $KODK $VXX $PCG $BABA $NTEC $GDX… https://t.co/tSEHTJEtME",Positive
22,2020-10-11 17:38:07,Santina Effertz,$AMD $IDEX $AAL $QQQ $Y $TQQQ $IGC $IWM $BAC $WFC $UVXY $KODK $VXX $PCG $BABA $NTEC $GDX $AMZN $NIO $JPM $UBER $DAL… https://t.co/0SkUJAQTPz,Negative
23,2020-10-11 17:32:50,Bullish Jason,"I will be live in my Discord tonight reviewing the markets like I do every Sunday Night! 📈

I'll hope to see you gu… https://t.co/RgycKseZIi",Positive
24,2020-10-11 16:46:14,Santina Effertz,$BABA $AMD $AAPL $NFLX $TWTR $AAL $INO $OXY $CCL $FB $UGAZ $DIS $ROKU $TVIX $CRON $DJIA $SPX $TLRY $SQ $MSFT $GLD… https://t.co/X5i0rKDmfR,Negative
25,2020-10-11 16:45:01,Santina Effertz,$HD $ROKU $NFLX $FB  $GLD $VXX $MSFT $BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR $ES $JD $BABA $BIDU $TME $SPY… https://t.co/tMReSuBv3w,Negative
26,2020-10-11 16:42:30,Santina Effertz,$AMD $IDEX $AAL $QQQ $Y $TQQQ $IGC $IWM $BAC $WFC $UVXY $KODK $VXX $PCG $BABA $NTEC $GDX $AMZN $NIO $JPM $UBER $DAL… https://t.co/koN9WJTv4G,Negative
27,2020-10-11 16:17:10,Profectus Systems,Great trading models at Profectus Systems $AAPL $BAC $PG $YHOO $CHK $WFC $FB $CRM $GE $MRO $NFLX $AMZN $TSLA $SPY $VLO $JBLU $ATVI $AMD,Positive
28,2020-10-11 16:11:39,Tivruski IV,"Watchlist ideas. Mostly looking for 12D option plays that have a good catalyst or nice growth.

$NLS (Strong!!)… https://t.co/5pqPRlYPHw",Positive
29,2020-10-11 15:53:09,D,@puppy_trades Hey @puppy_trades with the SAR S/L do you ever couple with another indicator to prevent too much loss… https://t.co/CSVA3uuK1r,Positive
30,2020-10-11 15:16:28,KaZen,"If AMD acquires Xnilnix
AMD will dominate deep learning
AMD x86 has the hardware for Xilinx to go to the mass cloud… https://t.co/yUZw3aG8vR",Negative
31,2020-10-11 15:09:34,eddie Broadway,"Plan for week: 10/12 -10/17

Buying on Monday, trim half end of day. 

Sell the rest before the 
$AAPL event on Tue… https://t.co/Ys20QGbXpY",Negative
32,2020-10-11 15:06:55,x1sauce,@puppy_trades What’s your opinion on $AMD?,Positive
33,2020-10-11 14:56:24,KaZen,$AMD #AMD Maybe Big Navi has no infinity cache turn on and the driver is not the latest based on their Q/A. Some se… https://t.co/jEAETf9vJH,Positive
34,2020-10-11 14:55:25,Living Canvas,"@MadMraket GM
$NXPI waiting for setup. $AMD strengthened its #2 position after merger",Positive
35,2020-10-11 14:35:52,Shoprecord,@TheStreet @MishGEA of course no virtual!#joebiden will only show a poster and use an fraud team to pretend him deb… https://t.co/cd0cZcDx8W,Positive
36,2020-10-11 14:33:08,Victor Perez,$SNE $AMD both great investments into Christmas 🎄,Positive
37,2020-10-11 13:03:44,Roger Ocasio-Clinton,Also @CharlesSchwab reiterated $AMD as an outperform #stock #stocks #stockmarket #madtweets,Positive
38,2020-10-11 13:01:27,StockBot0001,"$AMD
Twitter Sentiment on 10 Oct 2020 was:
▒ Positive 45.2% █ Negative 15.9% ░ Neutral 38.9%
▒▒▒▒▒▒▒▒▒███░░░░░░░░",Negative
39,2020-10-11 11:37:32,Daniel Wyatt,"@DontFeedBear Like your picks this week Brock, in $AMD and I will increase if we see a bit more of a dip. Been tryi… https://t.co/aVN6vZ3EaO",Positive
