,Date,User,Text,Sentiment
0,2020-09-22 02:07:15,Trading-Success,"Join with 20k+ active members in stocks, options, day and swing trading. Check out &amp; make profits.… https://t.co/BPpOUWXI0T",Positive
1,2020-09-22 01:55:55,Larry Livingston,"This study, 700+ lines of code, developed by yours truly, is called Dynamic Opening Range (OR) lines. You can get i… https://t.co/2WWC8QyloP",Positive
2,2020-09-22 01:43:14,Marlene Graves,Make Big profits with us. Everyone should join this room for good results. Free check out here:… https://t.co/QCB0c4tUxY,Positive
3,2020-09-22 01:09:05,Rocky11111111,"Called $PTON on 8/31 at 77.50 currently 94.57
Hello, pls join our real-time Collaborative Educational Discord room,… https://t.co/BgCwBZ3bwN",Negative
4,2020-09-22 01:04:47,Dave,"9.21.20 MON

$ROKU $CRWD $NET $ZM $PTON

CBOE Equity Put/Call Ratio:0.49 for Sep 21 2020

TUESDAY, SEPT. 22
10 amEx… https://t.co/75wydn8jqW",Positive
5,2020-09-22 00:47:29,stock trader,"Welcome to our CHATROOM
Of Traders https://t.co/CmCIV7NjCP

$SPY $ES_F $BA $CLVS $SRNE $DVAX $ACB $OSTK $TRIL $LK… https://t.co/1hKEWkPogl",Positive
6,2020-09-22 00:35:25,IC Options Trading,#ICdailyrecap: Awesome day! We were mostly patient last week but entered positions on Friday EOD. Hope u joined us… https://t.co/mIWVsGWFIN,Positive
7,2020-09-22 00:16:35,Dan McHale,$PTON - incredible recent quarterly earnings and great relative strength.  A good combination. https://t.co/iRhzul0p23,Positive
8,2020-09-22 00:04:21,Investidea,$AAPL Apple is waaaayyy overvalued  media pump.. $SNE Sony is way better than $AAPL Apple.. Imagine Sony start  buy… https://t.co/a0sEau8sH0,Positive
9,2020-09-22 00:03:36,Investidea,Boom! $SNE Sony stock will surpass $DIS Disney stock .. and the $AAPL Apple market capitalization $T $CMCSA $SSNLF… https://t.co/wxMybHXiIb,Positive
10,2020-09-21 23:58:33,stock trader,"$SPY $FB $CHWY $PTON $DIS $F $ADBE $CSCO $JPM $CCL $MGM $IWM $HD $Vidt $QQQ
Get instant updates and free trading an… https://t.co/UR7YaplxKz",Negative
11,2020-09-21 23:55:19,stock trader,$XLF $SPY $FB $CHWY $PTON $DIS $F $ADBE $CSCO $JPM $CCL $MGM $IWM $HD $Vidt $TWTR $XLE $XOM $AMD $BTC.X $BTC $ETH… https://t.co/Gc3AJiPXj5,Negative
12,2020-09-21 23:54:25,DreamTraders,"$ROKU $ROKU 600% GAINSSSSSSSSSSS !!

The Call swing went 20.00+ today from Friday entry.

$AAPL $SPY $TSLA $NVDA… https://t.co/NFO14jdXxo",Negative
13,2020-09-21 23:38:20,Capital Private Asset,"@HETorresJr LoL!  What a scam this is! 
$Pton $tsla $nkla https://t.co/eu9YrQWE6V",Negative
14,2020-09-21 23:36:56,Stock Jaguar,"$PTON I have PTON in my Position portfolio and added some today. Still, I am not fully comfortable on how the actio… https://t.co/ut2aKXSftZ",Positive
15,2020-09-21 23:13:20,💰Harmail Sidhu💰,"@saxena_puru Yepp i was dead wrong on success of $PTON, good thing I don’t short stocks I don’t see as viable candi… https://t.co/8mkSjREGQ0",Negative
16,2020-09-21 23:08:38,AssetDash.com,"Leaderboard Highlights 🏆

Daily:
• $TSLA moves into the #9 spot dashing past $TSM
• $WMT moves ahead of $V and $JNJ… https://t.co/F7jNQetkzs",Positive
17,2020-09-21 22:56:25,stock trader,"📌Discord https://t.co/CmCIV7vIef

Best stock traders group out there!
updates + Chatroom +analysis
📈📊⏳

$BIDU $SAVE… https://t.co/LiThbisfXb",Positive
18,2020-09-21 22:46:38,Mo,"$SPX 2 wave counts. Upside target 4000  

#ES_F  #NQ_F $NQ_F $SPX $SPY $NDX $QQQ $AAPL $BABA $BA $COST $SQ $GLD $FB… https://t.co/4WITVtXMOE",Positive
19,2020-09-21 22:23:29,David C Collier,$PTON end of day trade.  #TheStrat https://t.co/tPRyTymDmB,Positive
