,Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day change %,Short %,Open/Close change %
1,20201015,AA,2594061.0,73756.0,13471681.0,B/Q/N,0.0,12.3,-5.3846,19.25565933457005,inf
8,20201015,AAL,7191056.0,118872.0,11654.0,B/Q/N,12.22,12.23,-1.0518,61704.61644070705,0.08183306055646306
15,20201015,AAPL,23653699.0,84062.0,95965.0,B/Q/N,118.72,120.71,-0.3961,24648.256135049236,1.6762129380053863
23,20201015,ABBV,626417.0,3470.0,379.0,B/Q/N,0.0,85.23,-0.9759,165281.5303430079,inf
28,20201015,ABEV,1267988.0,3052.0,10225051.0,B/Q/N,0.0,2.42,-3.5857,12.400798783301912,inf
34,20201015,ABT,393022.0,248.0,66.0,B/Q/N,0.0,107.32,-0.3991,595487.8787878788,inf
41,20201015,ACB,2658348.0,14032.0,11157708.0,B/Q/N,0.0,4.29,-5.5066,23.825215716346047,inf
58,20201015,ACI,999143.0,5671.0,3339183.0,B/Q/N,0.0,14.29,0.1402,29.921780267808025,inf
69,20201015,ACOR,527847.0,18142.0,867.0,B/Q/N,0.6953,0.6895,-1.4718,60882.006920415224,-0.8341722997267406
73,20201015,ACRX,353309.0,10016.0,342.0,B/Q/N,1.76,1.68,-9.1892,103306.72514619882,-4.545454545454549
75,20201015,ACST,532627.0,5000.0,2158881.0,Q/N,0.218,0.2063,-4.6232,24.671438583228998,-5.366972477064215
94,20201015,ADMA,414375.0,14381.0,10.0,B/Q/N,2.26,2.34,2.1834,4143750.0,3.539823008849561
96,20201015,ADMP,1200311.0,33085.0,600.0,B/Q/N,0.88,0.9111,-3.0332,200051.83333333334,3.534090909090911
103,20201015,ADSK,603946.0,290.0,6.0,B/Q/N,244.0,252.03,2.1605,10065766.666666668,3.2909836065573774
112,20201015,ADXS,839744.0,3800.0,1939279.0,Q/N,0.39,0.4188,7.0826,43.30186631217066,7.384615384615382
135,20201015,AESE,665929.0,6741.0,1896504.0,B/Q/N,1.21,1.24,1.6393,35.11350358343563,2.4793388429752086
160,20201015,AG,341161.0,2754.0,2820.0,B/Q/N,0.0,10.71,-0.9251,12097.90780141844,inf
168,20201015,AGG,909487.0,0.0,5459197.0,B/Q/N,0.0,117.95,-0.0847,16.65972120075535,inf
178,20201015,AGNC,899548.0,537.0,3575272.0,B/Q/N,14.1,14.18,0.4249,25.160267526498682,0.5673758865248233
220,20201015,AIHS,2553134.0,79006.0,7872.0,B/Q/N,0.67,0.81,9.6076,32433.10467479675,20.895522388059703
245,20201015,AKBA,1143246.0,8014.0,50.0,B/Q/N,3.47,3.655,2.095,2286492.0,5.331412103746387
273,20201015,ALJJ,1050191.0,7038.0,750.0,B/Q/N,0.946,1.0,2.145,140025.46666666667,5.70824524312897
281,20201015,ALLY,520335.0,272.0,5189726.0,B/Q/N,0.0,27.87,1.7525,10.026251867632318,inf
293,20201015,ALRN,530640.0,11169.0,1811327.0,B/Q/N,2.09,1.94,-9.1335,29.29564899104358,-7.177033492822963
313,20201015,AM,560751.0,29.0,3057139.0,B/Q/N,0.0,6.43,1.1006,18.342345572118248,inf
314,20201015,AMAG,1435110.0,0.0,4423240.0,B/Q/N,13.65,13.64,1.4126,32.44476899286496,-0.0732600732600717
316,20201015,AMAT,510940.0,1248.0,100.0,B/Q/N,62.4,63.51,-0.7346,510939.99999999994,1.778846153846153
320,20201015,AMC,2776781.0,141457.0,3426.0,B/Q/N,0.0,2.78,-6.0811,81050.23350846468,inf
325,20201015,AMCX,1282521.0,5924.0,7670641.0,B/Q/N,22.7,22.62,-4.7178,16.719867348765245,-0.3524229074889793
326,20201015,AMD,6758689.0,8913.0,9556.0,B/Q/N,83.4,83.13,-1.2825,70727.17664294684,-0.32374100719425686
356,20201015,AMRN,1205223.0,6150.0,4267.0,B/Q/N,4.92,5.05,2.0202,28245.20740567143,2.6422764227642253
374,20201015,AMZN,675360.0,3583.0,2515.0,B/Q/N,3292.01,3338.6499,-0.745,26853.280318091453,1.4167605809216761
384,20201015,ANGI,575646.0,750.0,3440431.0,B/Q/N,10.65,11.09,1.5568,16.731799010065888,4.131455399061028
415,20201015,APA,2776452.0,4804.0,1000.0,B/Q/N,9.1,9.76,6.087,277645.2,7.2527472527472545
424,20201015,APHA,5306835.0,244228.0,702.0,B/Q/N,5.34,4.8,-18.3673,755959.4017094017,-10.112359550561798
438,20201015,APPS,646592.0,2844.0,358.0,B/Q/N,39.574,38.1,-7.5243,180612.2905027933,-3.7246677111234567
441,20201015,APSG/U,47485.0,0.0,2158684.0,Q/N,,,,2.199719829303409,
460,20201015,AR,1040684.0,2600.0,6743235.0,B/Q/N,0.0,3.62,3.1339,15.433008044358532,inf
477,20201015,AREC,798484.0,2693.0,917.0,B/Q/N,1.9,1.755,-2.5,87075.68157033806,-7.631578947368423
488,20201015,ARKK,629516.0,5020.0,752.0,B/Q/N,0.0,102.83,-0.9058,83712.23404255319,inf
495,20201015,ARMK,106783.0,128.0,3150914.0,Q/N,0.0,27.95,1.6364,3.3889531735870926,inf
505,20201015,ARRY,2482248.0,10101.0,8933.0,B/Q/N,29.5,36.45,-23.8245,27787.395052054184,23.559322033898315
507,20201015,ARTL,1462082.0,26725.0,711.0,B/Q/N,0.61,0.653,-16.0453,205637.41209563997,7.049180327868859
513,20201015,ARWR,781394.0,490.0,4025654.0,B/Q/N,48.19,48.85,9.874,19.410361645586033,1.3695787507781774
561,20201015,ATEC,313132.0,2790.0,2947481.0,B/Q/N,9.96,10.28,3.1093,10.6237156405758,3.2128514056224744
573,20201015,ATIF,2211863.0,31460.0,8036.0,B/Q/N,1.4,1.35,3.0534,27524.427575908412,-3.5714285714285587
592,20201015,ATUS,666434.0,1000.0,5259298.0,Q/N,0.0,28.45,1.6071,12.671539053310918,inf
594,20201015,ATVI,174962.0,501.0,1.0,B/Q/N,81.02,80.35,-1.8926,17496200.0,-0.8269563070846727
607,20201015,AUY,2219904.0,3200.0,16208893.0,B/Q/N,0.0,6.03,-2.269,13.69559290693078,inf
635,20201015,AVTR,125942.0,0.0,3774654.0,Q/N,0.0,24.02,1.2648,3.336517731161585,inf
638,20201015,AVXL,3365351.0,19578.0,37.0,B/Q/N,5.22,4.75,9.447,9095543.243243244,-9.003831417624516
651,20201015,AXAS,1053495.0,152.0,666.0,Q/N,0.1548,0.1546,-0.3866,158182.43243243243,-0.12919896640827244
671,20201015,AYTU,617926.0,0.0,655.0,B/Q/N,1.07,1.04,-1.8868,94339.84732824427,-2.803738317757012
684,20201015,BA,2943932.0,2832.0,69013.0,B/Q/N,0.0,164.24,0.6126,4265.764421196007,inf
686,20201015,BABA,1488435.0,17278.0,8444.0,B/Q/N,0.0,299.46,-0.5248,17627.13169114164,inf
687,20201015,BAC,8885713.0,7853.0,23265.0,B/Q/N,0.0,24.15,2.2439,38193.479475607135,inf
716,20201015,BB,661071.0,5000.0,4453800.0,B/Q/N,0.0,5.16,1.5748,14.842853293816516,inf
719,20201015,BBBY,1695792.0,4370.0,543.0,B/Q/N,23.34,24.96,4.2389,312300.55248618784,6.940874035989722
723,20201015,BBD,1864283.0,700.0,18046635.0,B/Q/N,0.0,3.65,-1.6173,10.330363527605007,inf
765,20201015,BCRX,406090.0,1085.0,295.0,Q/N,3.8,3.89,0.2577,137657.62711864407,2.368421052631587
791,20201015,BE,1703761.0,40924.0,270.0,B/Q/N,0.0,19.08,-7.9595,631022.5925925926,inf
805,20201015,BEST,852444.0,12037.0,2602142.0,B/Q/N,0.0,2.66,-1.4815,32.75931905330301,inf
846,20201015,BHC,1102327.0,600.0,4517721.0,B/Q/N,0.0,17.36,3.58,24.400068087427268,inf
863,20201015,BIDU,709644.0,943.0,601.0,B/Q/N,133.2,130.04,-4.4315,118077.20465890184,-2.37237237237237
874,20201015,BIOL,592898.0,7399.0,2364957.0,B/Q/N,0.33,0.3119,-5.6278,25.070138695967835,-5.484848484848486
891,20201015,BK,421434.0,1032.0,8070400.0,B/Q/N,0.0,37.23,1.7491,5.221971649484535,inf
904,20201015,BKLN,1086937.0,0.0,6239131.0,B/Q/N,0.0,21.79,-0.1832,17.421288317235202,inf
908,20201015,BKR,1031149.0,9570.0,7062799.0,B/Q/N,0.0,13.45,2.2814,14.599721725055465,inf
914,20201015,BKYI,791394.0,24516.0,4906.0,B/Q/N,0.475,0.48,-2.6172,16131.145536078271,1.0526315789473695
923,20201015,BLDP,388848.0,4398.0,100.0,B/Q/N,17.45,18.51,-1.8558,388848.0,6.074498567335257
934,20201015,BLNK,451891.0,3311.0,25.0,B/Q/N,9.65,9.35,-6.4064,1807564.0,-3.1088082901554475
961,20201015,BMY,574196.0,6444.0,13105283.0,B/Q/N,0.0,60.42,-0.9508,4.381408627345171,inf
962,20201015,BMYr,256637.0,400.0,2673838.0,Q/N,,,,9.598075874454622,
963,20201015,BND,912234.0,1109.0,3877906.0,B/Q/N,88.19,88.14,-0.0567,23.523881187424347,-0.05669577049551781
966,20201015,BNDX,522098.0,0.0,2512673.0,B/Q/N,58.475,58.43,0.0856,20.778589175750287,-0.07695596408721968
969,20201015,BNGO,1452978.0,14349.0,9394.0,Q/N,0.585,0.577,-2.2034,15467.085373642753,-1.3675213675213687
995,20201015,BORR,672357.0,35735.0,1700.0,B/Q/N,0.0,0.48,-5.5118,39550.41176470588,inf
1004,20201015,BP,2209896.0,6344.0,9636.0,B/Q/N,0.0,16.44,-0.9042,22933.748443337485,inf
1034,20201015,BRK/B,467384.0,1494.0,1003354.0,B/Q/N,,,,46.582163423876324,
1098,20201015,BSV,361483.0,200.0,1931278.0,B/Q/N,0.0,82.93,-0.0241,18.717294972551855,inf
1100,20201015,BSX,1473161.0,1.0,15112226.0,B/Q/N,0.0,39.0,-3.9882,9.748140346762945,inf
1117,20201015,BTU,642681.0,1300.0,2295898.0,B/Q/N,0.0,1.66,-4.5977,27.99257632525487,inf
1165,20201015,C,2632183.0,62231.0,1021.0,B/Q/N,0.0,43.61,1.3479,257804.40744368266,inf
1203,20201015,CARG,382312.0,0.0,2940192.0,B/Q/N,21.89,22.51,4.7952,13.002960350888648,2.832343535861128
1204,20201015,CARR,115265.0,1738.0,2692158.0,B/Q/N,0.0,32.6,0.2768,4.281509480498545,inf
1205,20201015,CARS,2401534.0,13047.0,1012.0,B/Q/N,0.0,10.06,25.593,237305.73122529645,inf
1222,20201015,CBAT,1875422.0,32082.0,2744.0,B/Q/N,3.14,3.71,12.0846,68346.28279883382,18.15286624203821
1230,20201015,CBL,2411175.0,39071.0,4162.0,B/Q/N,0.0,0.1618,2.7302,57933.085055261894,inf
1263,20201015,CCL,8191502.0,64662.0,45284.0,B/Q/N,0.0,14.02,0.3579,18089.174984542,inf
1279,20201015,CCX/WS,19575.0,0.0,1537296.0,Q/N,,,,1.2733396821431917,
1287,20201015,CDEV,1786303.0,16408.0,1431.0,B/Q/N,0.6587,0.7025,2.8701,124829.00069881203,6.649461059662983
1311,20201015,CEI,1465812.0,78234.0,1131.0,B/Q/N,0.0,0.9982,-7.5741,129603.18302387268,inf
1345,20201015,CFG,455873.0,730.0,9333642.0,B/Q/N,0.0,27.9,1.1603,4.884192044220252,inf
1357,20201015,CGC,394266.0,9472.0,2.0,B/Q/N,0.0,18.05,-1.5812,19713300.0,inf
1378,20201015,CHFS,610401.0,1565.0,1837622.0,B/Q/N,0.3164,0.322,-0.4021,33.216896619653006,1.7699115044247766
1464,20201015,CLDR,1116458.0,345.0,7832749.0,B/Q/N,0.0,10.64,-4.0577,14.253718585901323,inf
1468,20201015,CLF,1047865.0,3150.0,5187124.0,B/Q/N,0.0,7.49,0.9434,20.201271456013004,inf
1501,20201015,CLVS,801952.0,6982.0,2979398.0,B/Q/N,5.95,6.04,0.4992,26.91657844974052,1.5126050420168042
