,Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change %,Short Interest Ratio,Previous short % delta,Previous volume delta,Open/Close change %
1,20201016,AA,687912,17115,5378026,B/Q/N,12.31,12.62,0,0.127911617,-2.538778625,-27339303,2.518277823
9,20201016,AAL,5015547,29891,32717329,B/Q/N,12.3064,12.46,0,0.153299403,-21.81778565,30597708,1.248131054
15,20201016,AAPL,22291623,80815,115393808,B/Q/N,121.28,119.02,0,0.193178676,-7.939133576,111896446,-1.863456464
23,20201016,ABBV,726799,8943,5362675,B/Q/N,85.89,86.27,0,0.13552919,-0.487861754,-3112103,0.442426359
28,20201016,ABEV,2280369,4403,13408295,B/Q/N,2.4,2.35,0,0.170071512,4.195108647,7696934,-2.083333333
36,20201016,ABT,531883,1560,4363766,B/Q/N,107.7,109.67,0,0.121886233,-8.226323538,-3157390,1.82915506
44,20201016,ACB,4477349,14585,19906168,B/Q/N,4.37,4.02,0,0.224922697,11.12439681,16758244,-8.009153318
61,20201016,ACI,601312,1263,2998190,B/Q/N,14.42,14.26,0,0.200558337,0.597229872,-450449,-1.109570042
73,20201016,ACOR,633427,6150,2267863,B/Q/N,0.6966,0.6688,0,0.279305672,-1.834307098,-175171,-3.990812518
77,20201016,ACRX,787391,20584,2119621,B/Q/N,1.66,1.89,0,0.371477259,30.78399538,-16439980,13.85542169
89,20201016,ADAP,752690,38732,4485011,B/Q/N,7.63,6.31,0,0.167823446,-19.15389595,2898298,-17.30013106
97,20201016,ADMA,569072,6318,2150402,B/Q/N,2.33,2.27,0,0.264635171,2.04757642,-5998684,-2.575107296
99,20201016,ADMP,531621,31613,1761704,Q/N,0.9382,0.9239,0,0.301765223,12.28153734,-22236338,-1.524195268
110,20201016,ADTX,1385969,10969,4085619,B/Q/N,1.95,2.2,0,0.339231093,25.05913361,-17209498,12.82051282
130,20201016,AEO,883153,374,3197212,B/Q/N,15.33,15,0,0.276225974,16.1609653,-939075,-2.152641879
160,20201016,AG,953276,700,3497362,B/Q/N,10.79,10.51,0,0.272570011,14.71203743,-1516682,-2.594995366
169,20201016,AGG,635347,0,3933279,B/Q/N,117.99,117.89,0,0.16153113,-11.80948825,-6882900,-0.084752945
172,20201016,AGI,500274,2200,3043578,B/Q/N,8.92,8.53,0,0.164370356,0.677980808,-1247041,-4.372197309
179,20201016,AGNC,1001479,113,3969278,B/Q/N,14.13,14.11,0,0.252307599,-11.00553154,-1464352,-0.141542817
217,20201016,AIG,559264,1,4893989,B/Q/N,30.01,30.29,0,0.114275696,-1.215901985,-13513748,0.933022326
221,20201016,AIHS,1451437,70326,5652517,B/Q/N,0.7602,0.787,0,0.256777114,-4.274110131,2927858,3.525388056
