Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short delta,Previous volume delta,Open/Close change
AA,20201020,450562.0,0.0,4542602.0,B/Q/N,12.9,12.8,0.013460000000000001,0.09918588509404962,-0.009960660896018353,-2129556.0,-0.007751937984496096
AAL,20201020,7627962.0,214373.0,46748762.0,B/Q/N,12.75,12.8,0.019108,0.1631692834988871,-0.02013191684050694,-3811938.0,0.003921568627451036
AAPL,20201020,29627216.0,112621.0,124423728.0,B/Q/N,116.2,117.51,0.013191999999999999,0.23811548228164325,0.028071249362823403,3784391.0,0.01127366609294322
ABBV,20201020,914162.0,1220.0,6933177.0,B/Q/N,84.19,84.25,-0.000712,0.1318532614990213,0.013099961535335478,-3354815.0,0.0007126737142178676
ABEV,20201020,2665650.0,4543.0,22171297.0,B/Q/N,2.41,2.42,0.021097,0.12022977275528807,0.0012724764101702118,11723573.0,0.004149377593360907
ACB,20201020,4170545.0,133544.0,13816582.0,B/Q/N,4.59,4.56,-0.031847,0.301850703741345,0.020412195584801063,-11245994.0,-0.006535947712418355
ACI,20201020,5812891.0,10524.0,16484746.0,B/Q/N,15.3,15.22,0.058414,0.35262241832540214,0.13274874662894404,12326058.0,-0.0052287581699346445
ACOR,20201020,28731806.0,183595.0,110372638.0,B/Q/N,1.22,0.962,0.39420299999999997,0.2603163838486854,0.2603163838486854,110372638.0,-0.21147540983606558
ACST,20201020,653197.0,4298.0,2180063.0,Q/N,0.204,0.2,-0.013807,0.2996229925465457,0.2996229925465457,2180063.0,-0.019607843137254784
ADAP,20201020,324183.0,6576.0,2054917.0,B/Q/N,5.62,5.39,-0.0375,0.15775965647274318,-0.09555384899506172,-872949.0,-0.04092526690391467
ADMP,20201020,1548062.0,22640.0,4522037.0,B/Q/N,0.86,0.8077,-0.073101,0.3423373139140613,0.05064028927332126,982330.0,-0.06081395348837211
ADXS,20201020,683307.0,4000.0,2351318.0,Q/N,0.46,0.4603,0.0006519999999999999,0.29060594951427243,-0.07468678402566215,-1557339.0,0.0006521739130434064
AEO,20201020,784109.0,0.0,6894586.0,B/Q/N,14.39,14.06,-0.011947000000000001,0.11372822095481876,-0.08261913688147644,-3376390.0,-0.022932592077831833
AEP,20201020,877856.0,1269.0,3647026.0,B/Q/N,91.9,90.68,-0.006573,0.24070461795446482,0.24070461795446482,3647026.0,-0.01327529923830249
AEPPL,20201020,1217300.0,0.0,2545343.0,Q/N,52.66,52.56,-0.010728,0.4782459574210627,0.4782459574210627,2545343.0,-0.001898974553740872
AEPPZ,20201020,18850.0,0.0,2868167.0,B/Q,54.15,53.1,-0.047534,0.00657214171978131,0.00657214171978131,2868167.0,-0.01939058171745147
AG,20201020,799307.0,2485.0,4870245.0,B/Q/N,10.45,10.83,0.046376999999999995,0.16412049085826277,-0.028772237045370824,835645.0,0.03636363636363644
AGG,20201020,763126.0,248.0,4013620.0,B/Q/N,117.7,117.65,-0.000849,0.19013409341193238,-0.027597563974472356,-671413.0,-0.0004248088360237651
AGNC,20201020,780330.0,9400.0,4467367.0,B/Q/N,14.18,14.03,0.0,0.17467335905019668,-0.01441798496841823,-1510638.0,-0.010578279266572663
AHT,20201020,546008.0,4305.0,1873979.0,B/Q/N,1.33,1.45,0.090226,0.2913629234906048,0.2913629234906048,1873979.0,0.09022556390977435
AIG,20201020,420490.0,1600.0,5481541.0,B/Q/N,30.45,30.65,0.018611,0.07671018058607972,-0.008043588269254998,55623.0,0.006568144499178959
AIHS,20201020,14102385.0,609125.0,56144103.0,B/Q/N,1.87,1.13,-0.198582,0.25118194514569053,-0.07068130986728571,1563104.0,-0.3957219251336899
AKBA,20201020,1858455.0,68738.0,8879773.0,B/Q/N,3.74,3.58,-0.032431999999999996,0.2092908230874821,-0.042951982407053724,2067769.0,-0.042780748663101636
ALLY,20201020,541623.0,2089.0,4932588.0,B/Q/N,28.78,28.43,-0.0007030000000000001,0.10980503540940374,0.020098226622580512,-3986813.0,-0.012161223071577533
ALRN,20201020,1754662.0,25317.0,5059270.0,B/Q/N,1.79,2.29,0.31609200000000004,0.3468211817119861,0.3468211817119861,5059270.0,0.27932960893854747
AM,20201020,1212643.0,4406.0,4164568.0,B/Q/N,6.62,6.5,-0.010653999999999999,0.2911809820370324,0.13268015392091287,313055.0,-0.018126888217522674
AMAG,20201020,895500.0,0.0,2318670.0,B/Q/N,13.66,13.64,0.0,0.3862127857780538,0.3862127857780538,2318670.0,-0.0014641288433381826
AMAT,20201020,534432.0,1922.0,4479873.0,B/Q/N,62.67,62.26,0.003384,0.11929623897820317,0.04710902300777968,-1277670.0,-0.006542205201851024
AMC,20201020,5584364.0,268461.0,15978782.0,B/Q/N,3.3,3.09,-0.127119,0.3494862124034235,-0.029880042470779022,-24406286.0,-0.06363636363636363
AMCR,20201020,893645.0,500.0,5223878.0,Q/N,11.28,11.19,-0.007979,0.17106927076015174,0.17106927076015174,5223878.0,-0.007978723404255306
AMD,20201020,8399739.0,16589.0,38219415.0,B/Q/N,82.16,81.56,-0.005365999999999999,0.21977675482474027,0.006310575183552963,1530301.0,-0.007302823758519892
AMRH,20201020,1225379.0,27862.0,2952636.0,B/Q/N,1.41,1.44,-0.027027000000000002,0.4150118741355182,0.4150118741355182,2952636.0,0.02127659574468087
AMRN,20201020,1109180.0,2660.0,5915558.0,B/Q/N,5.09,4.88,-0.029821,0.1875021764641645,0.015230535364243986,2188125.0,-0.041257367387033395
AMTX,20201020,532446.0,10698.0,1755614.0,B/Q/N,4.55,4.46,-0.008889000000000001,0.3032819287155377,-0.05421262783089276,-3207228.0,-0.019780219780219748
AMWL,20201020,487014.0,5205.0,2127271.0,B/Q/N,35.38,32.81,-0.059345999999999996,0.22893839101835167,0.03426284603918342,-241948.0,-0.07263990955342002
AMX,20201020,398635.0,4427.0,4218814.0,B/Q/N,12.5,13.16,0.054486999999999994,0.09448982581360543,0.09448982581360543,4218814.0,0.052800000000000014
AMZN,20201020,670382.0,4390.0,4509678.0,B/Q/N,3222.28,3217.01,0.0030559999999999997,0.1486540724193612,0.006134106403417494,-713948.0,-0.0016354879153890976
ANCN,20201020,3429717.0,46992.0,13933371.0,B/Q/N,1.13,1.48,0.298246,0.24615127236617756,0.24615127236617756,13933371.0,0.3097345132743364
APA,20201020,1698809.0,1040.0,13204893.0,B/Q/N,9.22,9.61,0.060705999999999996,0.12864996331284168,-0.008837907110932519,2432670.0,0.04229934924078078
APHA,20201020,1974458.0,20875.0,8385319.0,B/Q/N,4.71,4.65,-0.00641,0.23546605680714114,-0.04423415393999894,-1987301.0,-0.01273885350318463
APPS,20201020,287520.0,2151.0,2347388.0,B/Q/N,36.75,36.105,-0.008921,0.1224850770302992,-0.04041580331260086,-1164539.0,-0.01755102040816335
APTX,20201020,10804899.0,79005.0,47579472.0,B/Q/N,5.95,4.295,0.17349699999999998,0.22709161211372839,0.22709161211372839,47579472.0,-0.2781512605042017
AR,20201020,1014771.0,9453.0,6410572.0,B/Q/N,3.76,3.8,0.038251,0.15829648274756136,0.05405934465893132,-372615.0,0.010638297872340436
ARKK,20201020,600924.0,5526.0,2197938.0,B/Q/N,102.84,100.83,-0.013888000000000001,0.273403526396104,-0.050205827359857236,-282905.0,-0.01954492415402572
ARRY,20201020,365875.0,357.0,2853178.0,B/Q/N,39.28,38.5,-0.011553,0.12823420060017285,-0.004921747420543826,-686386.0,-0.019857433808554
ATHX,20201020,1126480.0,9500.0,3207311.0,B/Q/N,1.8,1.63,-0.08938499999999999,0.3512225661933002,0.3512225661933002,3207311.0,-0.09444444444444453
ATIF,20201020,649199.0,16304.0,7948139.0,B/Q/N,1.52,1.39,-0.014184,0.08167937173720792,0.08167937173720792,7948139.0,-0.08552631578947376
ATUS,20201020,605405.0,1144.0,7529349.0,Q/N,28.16,28.0,-0.007092,0.08040602182207253,-0.025070679552253367,1287307.0,-0.005681818181818187
AUY,20201020,2071116.0,14393.0,11156162.0,B/Q/N,5.82,5.81,0.0,0.1856477164817076,-0.05001767951544653,390971.0,-0.00171821305841936
AVGR,20201020,648399.0,0.0,2065676.0,Q/N,0.3133,0.2958,-0.038986,0.31389191722225557,0.07282879654940655,-4665225.0,-0.05585700606447499
AVTR,20201020,843032.0,3900.0,5618319.0,B/Q/N,24.31,24.96,0.028854,0.1500505756259123,-0.08440776198197969,-1097774.0,0.026737967914438592
AYTU,20201020,746934.0,30989.0,2324828.0,Q/N,1.02,1.01,-0.009804,0.321285703716576,-0.015138547410565084,361010.0,-0.00980392156862746
AZN,20201020,620739.0,13741.0,4919090.0,B/Q/N,52.68,52.19,-0.004767,0.1261898033985961,0.04649202283851292,1775414.0,-0.009301442672741116
BA,20201020,2937761.0,9737.0,12319920.0,B/Q/N,168.29,167.24,0.0007779999999999999,0.23845617504009767,0.002754417287587907,-4199698.0,-0.006239229900766433
BABA,20201020,1582002.0,3603.0,8806118.0,B/Q/N,307.6,309.81,0.014806,0.1796480583158209,-0.022085599275534024,-5301166.0,0.007184655396618919
BAC,20201020,5991203.0,16505.0,62476424.0,B/Q/N,23.89,24.14,0.017707,0.09589542128723628,-0.0004709851022782763,11098499.0,0.010464629552113854
BAX,20201020,235217.0,100.0,3191637.0,B/Q/N,81.51,81.14,-0.000616,0.0736979174010077,0.0736979174010077,3191637.0,-0.004539320328794069
BB,20201020,743068.0,31462.0,4616522.0,B/Q/N,5.2,5.08,-0.021195,0.16095840115134294,0.026728815610027795,-199905.0,-0.023076923076923096
BBBY,20201020,1552575.0,9815.0,8688684.0,B/Q/N,25.09,24.99,0.004018,0.1786893158964004,0.06232674912900921,797856.0,-0.003985651654045493
BBD,20201020,3233946.0,10036.0,26941230.0,B/Q/N,3.78,3.84,0.043478,0.12003705844165244,0.01887352018572032,6207060.0,0.01587301587301589
BBEU,20201020,39287.0,0.0,14103110.0,B/Q/N,23.43,23.35,0.007769000000000001,0.002785697622722931,0.002785697622722931,14103110.0,-0.0034144259496371445
BBVA,20201020,921400.0,1656.0,3701663.0,B/Q/N,2.85,2.87,0.047445,0.24891514975836537,0.24891514975836537,3701663.0,0.007017543859649129
