Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short delta,Previous volume delta,Open/Close change,Total Volume/Shares Outstanding
AA,20201029,311628.0,2437.0,5620366,B/Q/N,12.21,12.75,0.031553,0.05544621115422021,-0.056262504028190295,0.2921043998347502,0.044226044226044155,0.030229267446628152
AAL,20201029,8216518.0,99385.0,44004673,B/Q/N,10.96,11.16,0.019178,0.18671921502518607,-0.009069204880335413,-0.3166957143669035,0.018248175182481684,0.0865157762252829
AAPL,20201029,24327354.0,64438.0,145659048,B/Q/N,112.37,115.32,0.03705,0.1670157421322704,-0.003033217132592164,0.011958114720131622,0.026252558512058276,0.008401464584532576
ABBV,20201029,1176628.0,10100.0,8871960,B/Q/N,80.5,80.67,0.002236,0.1326232309433316,-0.05616619765631953,-0.22719343648036242,0.002111801242236046,0.00502708118181042
ABEO,20201029,329154.0,0.0,2999779,B/Q/N,1.13,1.08,-0.009174,0.1097260831547924,-0.09231702703076744,0.013138332616203707,-0.044247787610619316,0.03538404025179204
ABEV,20201029,2559106.0,3400.0,35439120,B/Q/N,2.33,2.26,-0.030043,0.07221133030391273,-0.058544359115129854,0.48291322691855615,-0.030042918454935744,0.002252230970166737
ABT,20201029,512144.0,947.0,4234997,B/Q/N,106.38,105.0,-0.013343,0.1209313725605945,-0.12907330728254002,-0.403936191429652,-0.01297236322617029,0.0023919374438117046
ACB,20201029,2170772.0,13993.0,7837627,B/Q/N,3.96,4.09,0.067885,0.2769680159568706,-0.00016974999298602356,-0.3010007455871231,0.032828282828282804,0.06449197358451567
ACGL,20201029,207328.0,0.0,3679039,B/Q/N,29.39,30.43,0.033277,0.0563538467518284,0.0563538467518284,0.0,0.0353861857774753,0.009062291149533658
ACI,20201029,977291.0,4574.0,3140310,B/Q/N,15.03,15.15,0.002647,0.3112084475736472,0.0836965332171212,-0.483167828957947,0.007984031936127811,0.006644009937822966
ACOR,20201029,641049.0,7300.0,2128292,Q/N,0.88,0.915,0.035888,0.30120350027157927,0.03650324434735347,-0.11491471826294239,0.03977272727272731,0.04436883597797231
ACTV,20201029,1015061.0,0.0,1035637,Q/N,24.0,24.48,0.017034,0.9801320346801051,0.9801320346801051,0.0,0.020000000000000018,0.015997561215981296
ADMA,20201029,635925.0,54958.0,1895244,B/Q/N,2.05,2.03,-0.014563,0.3355372711904114,0.3355372711904114,0.0,-0.009756097560975618,0.021948400891946926
ADMP,20201029,925804.0,34070.0,2531716,B/Q/N,0.7112,0.7324,0.031695,0.36568240671544516,0.15024536696495577,-0.17782956430470742,0.029808773903262087,0.027031604943059204
ADS,20201029,594920.0,0.0,2976016,B/Q/N,45.58,52.04,0.189214,0.1999048392212945,0.1999048392212945,0.0,0.1417288284335235,0.062370631671732894
ADT,20201029,650273.0,433.0,3861307,B/Q/N,7.01,6.79,-0.032764,0.16840748482314408,0.16840748482314408,0.0,-0.031383737517831634,0.0050118620928438756
AEL,20201029,73097.0,2.0,1601756,B/Q/N,23.1,24.4,0.050366,0.045635539994855645,0.045635539994855645,0.0,0.05627705627705615,0.017414134964797105
AEO,20201029,851434.0,2900.0,4479660,B/Q/N,13.58,13.72,0.008082,0.19006665684449267,0.19006665684449267,0.0,0.010309278350515505,0.02696738660465447
AES,20201029,292335.0,2076.0,4772925,B/Q/N,19.32,19.53,0.0015379999999999999,0.06124860541491853,-0.03266983985388161,-0.2511569359991917,0.01086956521739135,0.007175915628597204
AG,20201029,811059.0,13948.0,3760082,B/Q/N,9.77,10.07,0.011044,0.215702476701306,-0.06257640898266392,-0.6265775265749842,0.03070624360286599,0.017535445486088853
AGG,20201029,934091.0,249.0,11775806,B/Q/N,117.76,117.52,-0.001784,0.07932289305717163,-0.11261810165960803,0.6066881131773245,-0.0020380434782609467,0.017073808902421342
AGI,20201029,827941.0,11031.0,6229069,B/Q/N,8.36,9.15,0.126847,0.13291568932692832,0.031145455883320253,0.04187630661700372,0.09449760765550251,0.01591358253472061
AGNC,20201029,1226649.0,9592.0,8256784,B/Q/N,13.95,14.1,0.004989,0.1485625638263033,-0.05849101556937619,-0.01237783582484098,0.010752688172043038,0.014863239097026233
AIG,20201029,1220068.0,0.0,7436506,B/Q/N,30.0,31.29,0.035065,0.16406468306486943,0.01445823081548564,-0.08523107906603479,0.04299999999999997,0.008632706467669777
AJAX/U,20201029,141399.0,3700.0,0,Q/N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAM,20201029,812373.0,2360.0,2960824,B/Q/N,97.305,95.82,-0.016222,0.2743739580603238,0.03986621271688018,-0.5239088043837082,-0.015261291814398167,0.018197514086564382
AKBA,20201029,1837514.0,69068.0,6949546,B/Q/N,2.37,2.27,-0.029914999999999997,0.26440777570218255,0.07936597311238941,-0.3143035365107393,-0.04219409282700425,0.048490592632617194
ALGM,20201029,341406.0,200.0,11098367,B/Q/N,19.4,17.7,0.0,0.030761822887997847,0.030761822887997847,0.0,-0.08762886597938141,1.0432462893507422
AM,20201029,863457.0,7033.0,4635832,B/Q/N,6.12,5.99,-0.01318,0.186257181019502,-0.05899406332872284,-0.13792283943844683,-0.02124183006535946,0.009726942124766536
AMAT,20201029,782478.0,5921.0,6313632,B/Q/N,57.23,59.5,0.038031999999999996,0.12393468608876793,0.010021487430603326,-0.29668468984705065,0.039664511619779894,0.00691311853116282
AMC,20201029,2728235.0,39587.0,9007427,B/Q/N,2.65,2.52,-0.034483,0.3028872729137855,0.02655174442335856,0.10641359039432371,-0.04905660377358487,0.1565159114157419
AMD,20201029,10081308.0,23247.0,52748986,B/Q/N,76.75,78.02,0.021204,0.19111851742515013,-0.042060758494552375,-0.31074025828594337,0.016547231270358256,0.043892002672376224
AMLP,20201029,394233.0,81287.0,3135640,Q/N,20.59,21.09,0.019333,0.12572648645890472,-0.008858610394988753,-0.11257522821406486,0.02428363283147159,0.020597714993954637
AMRN,20201029,294237.0,1409.0,2791789,B/Q/N,4.71,4.92,0.049040999999999994,0.1053937099114582,-0.05686760964968769,-0.14744616091215498,0.04458598726114649,0.007240195393306259
AMZN,20201029,955103.0,3108.0,6582795,B/Q/N,3201.27,3211.01,0.015248999999999999,0.14509080109588707,-0.005468668369946195,0.17795387888689465,0.0030425424909489786,0.013142206046497056
APA,20201029,1383650.0,834.0,12687899,B/Q/N,7.67,8.19,0.051348000000000005,0.1090527281151907,-0.05323170635905236,-0.08006773388746256,0.06779661016949147,0.03361400990099429
APHA,20201029,934086.0,5249.0,4185119,B/Q/N,4.45,4.49,0.014689,0.22319221986280438,-0.07679041742710538,-0.1952933788468353,0.008988764044943828,0.014464305085263479
