Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Previous close % change,Total Volume/Shares Outstanding
AA,20201104,775607.0,11311.0,6117858,B/Q/N,13.65,13.19,-0.046276000000000005,0.12677754207436656,0.05127738477486407,0.2969488136395204,-0.03369963369963376,0.03290416620408115
AAL,20201104,7176782.0,29336.0,45046273,B/Q/N,11.21,11.005,-0.021778,0.15932021723528603,0.01776680948054188,0.029035996075953113,-0.01828724353256022,0.08856362311000479
AAPL,20201104,19236865.0,96093.0,137650026,B/Q/N,114.14,114.95,0.040837000000000005,0.13975198958553048,-0.049580252099927447,0.27898473402623164,0.007096548098826023,0.008096202155512692
ABBV,20201104,3099682.0,46882.0,25843974,B/Q/N,93.135,94.5,0.074352,0.11993828812859818,-0.03964581077034908,2.0337732410694707,0.014656144306651579,0.014643861712473656
ABT,20201104,1159935.0,18401.0,7418961,B/Q/N,110.17,111.53,0.017981,0.15634736454336395,0.021489036922643895,0.9169991093232691,0.012344558409730411,0.004190248684964529
AEO,20201104,520794.0,464.0,4309353,B/Q/N,14.7,14.22,-0.043068999999999996,0.12085201653241218,-0.07414842669375207,-0.2596829455505247,-0.03265306122448971,0.025942144798249765
AG,20201104,2479977.0,19257.0,7467310,B/Q/N,10.96,10.46,-0.057657999999999994,0.332111161850787,0.007480022379940332,-0.21200534467610194,-0.04562043795620438,0.03482440208291366
AGG,20201104,538959.0,1400.0,5308746,B/Q/N,117.9,117.95,0.006657,0.10152284550814825,0.022583080654485,-0.20688443503835194,0.0004240882103477282,0.0076373845489857576
AGNC,20201104,1035596.0,711.0,12916425,B/Q/N,14.03,14.065,0.008967000000000001,0.0801766742732606,-0.042282386844233855,0.9675134850819829,0.0024946543121881783,0.02369116837857667
AIG,20201104,409235.0,0.0,5422312,B/Q/N,32.33,31.59,-0.039526,0.07547241840749849,0.014039363122672795,-0.24363329177880044,-0.022888957624497323,0.0062945189410354065
ALLY,20201104,381759.0,3400.0,5987216,B/Q/N,28.3,27.59,-0.033964,0.06376235632721451,-0.019165417656675787,0.14464397828485867,-0.025088339222614872,0.01601557371283322
AM,20201104,768079.0,5650.0,4420158,B/Q/N,5.69,5.63,0.014414,0.17376731781986074,-0.01700905726896007,-0.3268720435586546,-0.010544815465729437,0.0092735969600742
AMAT,20201104,975122.0,5785.0,9799305,B/Q/N,63.44,64.86,0.049005,0.09950930193518825,0.011876174204901627,-0.01688311987984256,0.022383354350567493,0.01072976014250062
