Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
AA,20201118,679643.0,6130.0,6255259,B/Q/N,18.3,18.33,0.0032840000000000005,0.10865145631859528,-0.014347717981570918,0.08212158321931594,0.00163934426229495,0.033643161019032225
AAL,20201118,18020304.0,32936.0,99888521,B/Q/N,12.91,12.74,0.00315,0.18040415274543908,0.0005438997760961461,0.22774132492470278,-0.013168086754453906,0.18256757366150933
AAPL,20201118,17472023.0,114920.0,76322111,B/Q/N,118.61,118.03,-0.011391,0.2289247869467342,0.05338826194846935,-0.32034247059756576,-0.004889975550122235,0.004489060100805785
ABBV,20201118,923480.0,13437.0,8880632,B/Q/N,100.0,98.72,-0.004939,0.10398809454101915,-0.019462758874606106,-0.06287928000482879,-0.012800000000000011,0.0050301688879717315
AG,20201118,972137.0,5302.0,4004177,B/Q/N,10.61,10.28,-0.032014999999999995,0.24278072622663782,-0.024210369215722005,-0.12833578051751143,-0.031102733270499536,0.018098982385401634
AGG,20201118,1582112.0,300.0,6191072,B/Q/N,117.95,117.95,0.000679,0.25554734301264787,0.046420585040079065,1.0336302225930372,0.0,0.008945343158503106
AGNC,20201118,1302628.0,0.0,7611742,B/Q/N,15.25,15.25,0.001971,0.17113401899328695,-0.036355874362259205,-0.06386577751398745,0.0,0.013961079391549008
AIG,20201118,740515.0,735.0,6265071,B/Q/N,38.25,38.55,0.003384,0.11819738355718555,-0.007142569394379836,-0.1312137963627045,0.007843137254901886,0.007272064841187901
AMAT,20201118,1101671.0,636.0,10667679,B/Q/N,74.69,75.71,0.018018,0.1032718551055014,0.023760401606815085,0.32157495146150666,0.013656446646137315,0.011680587240339073
AMD,20201118,5275385.0,41898.0,29967958,B/Q/N,83.0135,82.54,-0.009837,0.17603418290962633,-0.03025725702985088,-0.3282421362324526,-0.005703891535713916,0.0249169934447745
AMZN,20201118,600304.0,1958.0,2916836,B/Q/N,3134.0,3105.46,-0.009630999999999999,0.2058065657445259,0.01810918706393086,-0.3320614995959397,-0.009106573069559656,0.0058133116549124305
APA,20201118,1509231.0,13392.0,12374941,B/Q/N,11.6097,11.04,-0.034965,0.121958642065445,-0.02540407640504562,-0.020303059115314007,-0.049071035427272106,0.03278319540068146
APPS,20201118,2221531.0,5549.0,7384494,B/Q/N,38.16,35.76,-0.027468,0.30083726792925825,0.1546414253641449,1.2632847983576958,-0.06289308176100626,0.083255188165503
ARKK,20201118,777567.0,6183.0,2449509,B/Q/N,101.5,101.02,-0.002074,0.31743790286134893,0.11531587160909029,-0.40986209687911074,-0.0047290640394089065,0.022018058426966292
ATVI,20201118,472942.0,7596.0,9287224,B/Q/N,76.9453,75.5,-0.020878999999999998,0.050923935936077344,-0.04167480262156553,0.6852178908592336,-0.01878347345451903,0.012016740195020637
AUY,20201118,3056161.0,590.0,12001946,B/Q/N,5.45,5.34,-0.020183,0.25463878940965073,-0.001035066287464581,-0.14786225495604605,-0.020183486238532167,0.012598867755382256
BA,20201118,16202688.0,52912.0,65990690,B/Q/N,223.02,203.3,-0.032135,0.24552990732480598,0.016605029993679493,1.2064745759878293,-0.08842256299883418,0.11689498645780694
BABA,20201118,4733375.0,17519.0,28307122,B/Q/N,257.76,255.83,-0.003777,0.16721498568452137,-0.06214189744721155,-0.32115559458235243,-0.007487585350713759,0.0013077847372407663
BAC,20201118,6054571.0,68812.0,54416692,B/Q/N,27.63,26.98,-0.02069,0.11126312124963421,-0.004774388450085987,0.12522010794209068,-0.023525153818313375,0.00629037277807623
BAX,20201118,478125.0,259.0,3946100,B/Q/N,80.74,80.42,-0.004457,0.12116393401079546,0.08417513446718275,-0.2857908191152718,-0.003963339113202789,0.0077250545701762294
BBBY,20201118,961959.0,346.0,6957298,B/Q/N,20.12,19.865,-0.012674000000000001,0.13826617747292125,-0.10388410953397764,-0.22838220739115409,-0.012673956262425574,0.055213049237685045
BE,20201118,589669.0,2850.0,5634412,B/Q/N,19.81,18.51,-0.03944,0.10465493116229342,-0.08841144288942919,-0.18841240212218816,-0.06562342251388174,0.04073833549678759
BK,20201118,330213.0,617.0,7207393,B/Q/N,39.65,38.74,-0.017748,0.045815872674072305,-0.01291917644469448,0.16822286149233914,-0.022950819672131063,0.008133508384755992
BKR,20201118,899485.0,405.0,8241808,B/Q/N,19.36,18.58,-0.035306000000000004,0.10913685443776414,0.011342433052967768,0.43894904339609664,-0.04028925619834717,0.012017502983700405
BLNK,20201118,4514511.0,71290.0,15274997,B/Q/N,13.56,14.78,0.044523,0.29554905968230305,-0.0018218272387721668,5.330442534282824,0.08997050147492616,0.4730397777446555
BMY,20201118,1055563.0,2655.0,12455274,B/Q/N,64.67,62.01,-0.035914,0.08474827611179007,0.028766088642474437,0.5061366310973914,-0.04113190041750431,0.0055117891948684595
BND,20201118,1350387.0,8850.0,6089557,B/Q/N,88.12,88.12,0.001136,0.2217545545595517,-0.18152539053701952,0.8091859259457324,0.0,0.008253411524767584
BNDX,20201118,590788.0,398.0,1992221,B/Q/N,58.38,58.38,-0.000171,0.2965474211947369,0.07662163593886623,-0.09359875083373295,0.0,0.0033655835345752674
BP,20201118,1580967.0,6520.0,14930854,B/Q/N,20.16,19.56,-0.024439000000000002,0.10588590578944782,0.010291303582429093,-0.3572642910223481,-0.029761904761904833,0.0007366855024714316
BSX,20201118,950349.0,18249.0,22512336,B/Q/N,35.21,34.26,-0.021981,0.04221458848162181,-0.02532400868675408,1.3177333087753909,-0.02698097131496742,0.015721767320759177
BTG,20201118,1996313.0,14626.0,8097275,B/Q/N,5.9,5.68,-0.040541,0.2465413364372582,0.06634652640574959,0.09659529356255284,-0.037288135593220445,0.007707343695833227
C,20201118,3684033.0,87756.0,25823970,B/Q/N,51.09,51.05,0.006308,0.14265943617499555,-0.001005941477751432,-0.13107998666335438,-0.0007829320806421266,0.012403684025623094
CARR,20201118,538935.0,2355.0,5997230,B/Q/N,40.28,39.39,-0.024034,0.08986398720742743,0.03363610046182504,0.2944682544753169,-0.022095332671300906,0.006919716274267783
CCL,20201118,17190816.0,287201.0,72257819,B/Q/N,17.54,17.59,-0.025485,0.23790942264670348,-0.02516100417366221,0.24924137761009385,0.0028506271379703943,0.10027891216112204
CDE,20201118,566800.0,41098.0,3293390,B/Q/N,8.2,7.72,-0.063107,0.17210230188346962,0.0700428530697069,0.10140597404360757,-0.058536585365853606,0.013512224281875554
CGC,20201118,637192.0,1644.0,4749097,B/Q/N,24.75,23.67,-0.034272,0.13417119086007298,0.02301756606017065,-0.3725432710372735,-0.04363636363636357,0.012756665091093569
CLF,20201118,2878106.0,8256.0,9030001,B/Q/N,9.17,8.94,-0.016502,0.3187270964864788,0.09146827601202559,0.785859632239529,-0.025081788440567115,0.022617881083144508
CMCSA,20201118,1984689.0,3060.0,18279215,B/Q/N,49.6,49.14,-0.012857,0.10857627091754214,0.05469347267379655,0.5438268008693774,-0.009274193548387114,0.00400343852317516
CNC,20201118,88259.0,0.0,1929369,B/Q/N,68.19,65.96,-0.01962,0.04574500782380146,-0.12804363027173393,-0.5331064408098727,-0.032702742337586216,0.003327659043659302
CNK,20201118,3218134.0,13499.0,10999364,B/Q/N,14.99,14.91,0.007431999999999999,0.29257455249230774,0.07542391212264482,0.10136332632558744,-0.005336891260840565,0.0930899616788249
COG,20201118,423736.0,8100.0,5634686,B/Q/N,17.3,16.74,-0.025611000000000002,0.07520135106020105,-0.04540042495144922,0.2793418707767729,-0.03236994219653192,0.014136905219257668
COP,20201118,4021536.0,18566.0,23319624,B/Q/N,38.96,39.18,0.008494,0.17245286630693532,0.05641109671314212,0.35382668300728537,0.00564681724845993,0.021835728670239165
CRON,20201118,682805.0,2929.0,4650207,B/Q/N,7.4028,7.26,-0.013587,0.14683324849840018,0.027647112444616304,-0.4247469525006869,-0.019289998378991768,0.013055528105073018
CSCO,20201118,2219909.0,11077.0,21327707,B/Q/N,41.9,41.32,-0.013372,0.10408568534817175,-0.01701258889067432,-0.21970306820641816,-0.013842482100238623,0.005052738259583827
CVS,20201118,2524361.0,17988.0,11674565,B/Q/N,67.5,66.35,-0.011766,0.21622741404069445,0.06442993434797056,0.21256979546950427,-0.01703703703703712,0.008919279247894195
CVX,20201118,1272183.0,17459.0,10583713,B/Q/N,87.37,84.28,-0.031709999999999995,0.12020195558968766,0.014498658770275785,-0.09079184436037267,-0.03536683071992679,0.005497884384355884
DAL,20201118,3302571.0,23201.0,21199184,B/Q/N,38.09,37.91,0.008245,0.15578764729812242,0.0020427533625874406,0.010909516443815326,-0.004725649776844495,0.033241404714719903
DBX,20201118,819617.0,20016.0,4714970,B/Q/N,18.63,18.43,-0.006469,0.1738329194035169,0.07667354062290037,-0.0790833197587593,-0.010735373054213597,0.01492651224465205
DDD,20201118,367301.0,1838.0,2225748,B/Q/N,7.24,7.09,-0.013908,0.16502362351892488,0.023837870966308822,-0.2823695705724025,-0.020718232044198943,0.017929058379829506
DIS,20201118,1946048.0,24302.0,9456229,B/Q/N,144.5,143.9,-0.004152,0.2057953545752752,0.04593243391908006,-0.015064687414037676,-0.004152249134948057,0.0053095053340819764
DKNG,20201118,9867039.0,73698.0,35497897,B/Q/N,47.1,47.68,0.022955999999999997,0.2779612268298598,0.0029395139050504837,1.8142881549900483,0.012314225053078519,0.0906220170027902
DUST,20201118,575691.0,502.0,4317684,B/Q/N,19.92,21.02,0.058941999999999994,0.13333328701220376,-0.012621887318879477,0.8009702926603213,0.055220883534136435,0.9265076324452471
EBAY,20201118,1284510.0,7079.0,12734060,B/Q/N,48.07,48.53,0.004138,0.10087199212191555,-0.008584162961115721,-0.031061286492537518,0.009569377990430639,0.0184728684758126
EEM,20201118,5189130.0,0.0,32343464,B/Q/N,49.09,48.71,-0.003478,0.16043828824271883,0.02939760392786897,-0.3010148635350674,-0.007740884090446171,0.059845432509945416
