Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Exchange,Open,Close,VIX Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
A,20201201,147373.0,1300.0,1753671.0,B/Q/N,NYSE,117.58,115.36,20.77,1.1536,0.0840368575405535,-0.4818038677423602,-0.5358735920754472,-0.018880762034359577,0.005730950980392157
AA,20201201,886367.0,13469.0,8331878.0,B/Q/N,NYSE,20.48,21.83,20.77,0.2183,0.10638261866052287,-0.30522144497454873,0.8818177650082923,0.06591796874999989,0.044812007487608774
AAL,20201201,15780534.0,153463.0,76388158.0,B/Q/N,NASDAQ,14.42,14.27,20.77,0.1427,0.20658351259104848,-0.1725733810475907,-0.21682358459723153,-0.010402219140083243,0.12626166653121185
AAN,20201201,583316.0,10663.0,8782625.0,B/Q/N,NYSE,21.7,18.41,20.77,0.1841,0.06641704501786197,-0.49959595547375324,5.717626587119474,-0.15161290322580642,0.2600062880215853
AAP,20201201,136455.0,200.0,1258345.0,Q/N,NYSE,149.07,152.61,20.77,1.5261000000000002,0.108440054198173,-0.6096437218068441,-0.1730614165425175,0.023747232843630648,0.018544743189545507
AAPL,20201201,21835337.0,198121.0,128166803.0,B/Q/N,NASDAQ,121.01,122.72,20.77,1.2272,0.1703665573994227,-0.1961262165386673,-0.24345276653386472,0.014131063548467016,0.007538424632871269
AAXJ,20201201,125910.0,0.0,1270091.0,B/Q/N,NASDAQ,86.32,86.2,20.77,0.862,0.09913462893603686,-0.6889063424705245,0.07884427531492351,-0.0013901760889711578,0.021168183333333333
ABB,20201201,228303.0,1446.0,1893366.0,B/Q/N,NYSE,26.66,26.67,20.77,0.2667,0.12058048998450378,-0.5069380252942459,0.26256890106387376,0.00037509377344341945,0.0008732640804309866
ABBV,20201201,695372.0,2329.0,7625102.0,B/Q/N,NYSE,105.05,104.04,20.77,1.0404,0.09119510794740844,-0.397060965008817,-0.6321077579354502,-0.009614469300333089,0.0043190114000907845
ABR,20201201,231201.0,17.0,1357873.0,B/Q/N,NYSE,13.47,13.59,20.77,0.1359,0.17026702791792753,-0.3586207590640142,-0.18005759456637715,0.008908685968819541,0.011004271004658865
ABT,20201201,310989.0,2240.0,4265310.0,B/Q/N,NYSE,109.24,108.49,20.77,1.0849,0.07291123036778101,-0.14804221706835735,-0.2520053655288446,-0.006865616990113512,0.0024065687530833474
ACB,20201201,19893863.0,519060.0,78282236.0,B/Q/N,NYSE,11.91,9.75,20.77,0.0975,0.2541299791181233,-0.2809034231267835,-0.38374119702239623,-0.18136020151133503,0.426243714010442
ACGL,20201201,393662.0,338.0,3028126.0,B/Q/N,NASDAQ,33.01,33.02,20.77,0.33020000000000005,0.13000185593333963,-0.4381924561523151,-0.7472258186228721,0.0003029385034839478,0.0074579503503920935
ACI,20201201,362052.0,2423.0,2169150.0,B/Q/N,NYSE,16.0,15.78,20.77,0.1578,0.16690961897517462,-0.15752648826443164,-0.0854256271400256,-0.01375000000000004,0.0045893093855793494
ACN,20201201,182422.0,637.0,2078643.0,B/Q/N,NYSE,251.51,252.27,20.77,2.5227,0.08776013966804304,-0.36601663205405344,-0.14864876487816706,0.0030217486382251974,0.0032808628942327385
