Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20200904|A|202876|288|427144|B,Q,N
20200904|AA|539568|4930|1262837|B,Q,N
20200904|AAAU|120335|0|201509|B,Q,N
20200904|AACG|5037|0|22946|Q,N
20200904|AACQ|1|0|1|N
20200904|AACQU|11606|799|64372|Q,N
20200904|AACQW|5|0|5|N
20200904|AADR|2882|0|4584|Q
20200904|AAL|10875926|172217|31504945|B,Q,N
20200904|AAMC|360|0|2989|Q
20200904|AAME|25|0|90|N
20200904|AAN|89943|10|121105|B,Q,N
20200904|AAOI|197654|4706|344736|B,Q,N
20200904|AAON|16837|435|27363|Q,N
20200904|AAP|71347|484|135359|B,Q,N
20200904|AAPL|50714778|1119298|155059967|B,Q,N
20200904|AAT|45885|0|75467|Q,N
20200904|AAU|130537|13000|328146|Q,N
20200904|AAWW|72408|600|121142|B,Q,N
20200904|AAXJ|78976|0|133857|Q,N
20200904|AAXN|90931|528|203235|B,Q,N
20200904|AB|56292|1325|135917|B,Q,N
20200904|ABB|454611|1025|786664|B,Q,N
20200904|ABBV|1183376|5374|2627452|B,Q,N
20200904|ABC|104300|0|162291|Q,N
20200904|ABCB|17726|500|43386|Q,N
20200904|ABEO|164081|500|309103|B,Q,N
20200904|ABEQ|9247|0|9761|Q,N
20200904|ABEV|2343601|200|3747680|B,Q,N
20200904|ABG|20322|0|32507|Q,N
20200904|ABIO|259630|9352|543254|B,Q,N
20200904|ABM|44564|0|68133|B,Q,N
20200904|ABMD|89336|0|155422|B,Q,N
20200904|ABR|202227|314|411442|B,Q,N
20200904|ABRpA|1383|0|1936|Q
20200904|ABRpB|145|0|224|Q,N
20200904|ABRpC|600|0|3978|Q,N
20200904|ABT|539222|1655|1565565|B,Q,N
20200904|ABTX|1869|0|2072|Q,N
20200904|ABUS|342756|7265|891800|B,Q,N
20200904|AC|1737|0|2959|Q
20200904|ACA|33265|703|46865|B,Q,N
20200904|ACAD|99848|2011|294865|Q,N
20200904|ACAM|14151|0|868541|Q,N
20200904|ACAMW|10671|0|27060|Q,N
20200904|ACB|782719|8457|1323427|B,Q,N
20200904|ACBI|20002|0|55431|Q,N
20200904|ACC|154480|3|312584|B,Q,N
20200904|ACCD|136096|0|169735|B,Q,N
20200904|ACCO|38046|0|94606|Q,N
20200904|ACEL|46569|0|79389|Q,N
20200904|ACER|27981|0|82523|Q,N
20200904|ACES|27927|0|84930|Q,N
20200904|ACEVU|300|0|1475|Q
20200904|ACGL|79415|303|210187|Q,N
20200904|ACGLO|3062|0|6682|Q,N
20200904|ACGLP|5026|0|7688|Q,N
20200904|ACH|10674|50|18780|Q,N
20200904|ACHC|16477|23|89891|Q,N
20200904|ACHV|56350|100|117576|B,Q,N
20200904|ACI|726918|13719|1280553|B,Q,N
20200904|ACIA|101185|50|172755|Q,N
20200904|ACIO|1058|0|3961|Q,N
20200904|ACIU|17049|300|59675|Q,N
20200904|ACIW|118463|1080|171550|Q,N
20200904|ACLS|36252|1298|91681|Q,N
20200904|ACM|77474|34|184518|B,Q,N
20200904|ACMR|40288|1832|97663|B,Q,N
20200904|ACN|157815|1320|375566|B,Q,N
20200904|ACNB|8198|0|14417|Q,N
20200904|ACND/U|12688|0|17306|Q,N
20200904|ACOR|447158|48771|992874|B,Q,N
20200904|ACP|38213|0|81779|B,Q,N
20200904|ACRE|43546|120|70832|B,Q,N
20200904|ACRS|87171|1786|247839|B,Q,N
20200904|ACRX|149014|0|293130|B,Q,N
20200904|ACSI|46|0|111|Q
20200904|ACST|3299877|42464|6791119|B,Q,N
20200904|ACT|532|0|843|Q,N
20200904|ACTG|18339|377|60937|B,Q,N
20200904|ACU|3107|0|5243|B,Q,N
20200904|ACV|22643|0|63235|B,Q,N
20200904|ACWF|848|0|1808|Q,N
20200904|ACWI|173387|766|313249|B,Q,N
20200904|ACWV|41844|0|200882|Q,N
20200904|ACWX|134244|1452|215554|Q,N
20200904|ACY|483|0|1084|Q
20200904|ADAP|56210|0|180348|Q,N
20200904|ADBE|282763|531|1112353|B,Q,N
20200904|ADC|22178|0|67852|Q,N
20200904|ADCT|11917|600|23482|B,Q,N
20200904|ADES|18936|200|45901|Q,N
20200904|ADFI|1|0|1|Q
20200904|ADI|285336|396|586838|B,Q,N
20200904|ADIL|134667|0|216852|B,Q,N
20200904|ADILW|300|0|550|Q
20200904|ADM|441827|9285|1029133|B,Q,N
20200904|ADMA|950115|1820|1858738|B,Q,N
